Id,Name,CityId,Street,Number,CreateDate,UpdateDate
1,kia motors america  inc,8,Meadow Place,49,4/6/2024,4/6/2024
2,financial services remarketing (lease),88,Cedar Street,12,4/6/2024,4/6/2024
3,volvo na rep/world omni,81,Pine Circle,9,4/6/2024,4/6/2024
4,enterprise vehicle exchange / tra / rental / tulsa,71,Cedar Boulevard,5,4/6/2024,4/6/2024
5,the hertz corporation,93,Oak Trail,5,4/6/2024,4/6/2024
6,audi mission viejo,79,Elm Lane,9,4/6/2024,4/6/2024
7,d/m auto sales inc,74,Maple Terrace,10,4/6/2024,4/6/2024
8,desert auto trade,63,Valley Drive,32,4/6/2024,4/6/2024
9,kia motors finance,16,Pine Avenue,41,4/6/2024,4/6/2024
10,avis rac/san leandro,74,Maple Road,43,4/6/2024,4/6/2024
11,avis tra,38,Oak Trail,5,4/6/2024,4/6/2024
12,audi north scottsdale,63,Elm Trail,23,4/6/2024,4/6/2024
13,wells fargo dealer services,65,Lake Trail,44,4/6/2024,4/6/2024
14,midway hfc fleet/ars,76,Cedar Street,41,4/6/2024,4/6/2024
15,enterprise vehicle exchange/orange,86,Hill Lane,44,4/6/2024,4/6/2024
16,audi of downtown l a,10,Sunset Way,44,4/6/2024,4/6/2024
17,fratelli investment group,7,Meadow Way,15,4/6/2024,4/6/2024
18,rogue cu,61,Oak Lane,15,4/6/2024,4/6/2024
19,avis corporation,77,Sunset Street,24,4/6/2024,4/6/2024
20,american honda motor company,18,Valley Lane,12,4/6/2024,4/6/2024
21,lexus financial services,56,Oak Place,40,4/6/2024,4/6/2024
22,nissan-infiniti lt,26,Sunset Street,40,4/6/2024,4/6/2024
23,audi west covina,9,Pine Trail,7,4/6/2024,4/6/2024
24,street smartz auto sales corporation,2,Elm Circle,49,4/6/2024,4/6/2024
25,enterprise fleet management exchange  inc.,20,Elm Circle,48,4/6/2024,4/6/2024
26,ag leaseplan,95,Cedar Street,10,4/6/2024,4/6/2024
27,onemain rem/m&m auto traders,19,Hill Street,9,4/6/2024,4/6/2024
28,repo remarketing/visterra credit union,32,Hill Road,45,4/6/2024,4/6/2024
29,tdaf remarketing,76,Meadow Trail,3,4/6/2024,4/6/2024
30,lease plan usa,89,Forest Trail,17,4/6/2024,4/6/2024
31,ars/acme auto leasing,96,Pine Circle,45,4/6/2024,4/6/2024
32,nissan infiniti lt,15,Oak Place,45,4/6/2024,4/6/2024
33,infiniti financial services,10,Valley Street,45,4/6/2024,4/6/2024
34,hyundai buybacks,58,Pine Boulevard,20,4/6/2024,4/6/2024
35,hyundai motor america/co car,61,Park Road,6,4/6/2024,4/6/2024
36,hyundai motor finance,64,Hill Drive,11,4/6/2024,4/6/2024
37,aaero sweet company,81,Main Terrace,19,4/6/2024,4/6/2024
38,gm financial,43,Valley Court,48,4/6/2024,4/6/2024
39,hertz/tra,42,Valley Way,31,4/6/2024,4/6/2024
