Id,Name,CountryId,CreateDate,UpdateDate
1,Toyota,203,4/6/2024,4/6/2024
2,Honda,203,4/6/2024,4/6/2024
3,Nissan,203,4/6/2024,4/6/2024
4,Mazda,203,4/6/2024,4/6/2024
5,Subaru,203,4/6/2024,4/6/2024
6,Mitsubishi,203,4/6/2024,4/6/2024
7,Suzuki,203,4/6/2024,4/6/2024
8,Lexus,203,4/6/2024,4/6/2024
9,Infiniti,203,4/6/2024,4/6/2024
10,Acura,203,4/6/2024,4/6/2024
12,Lamborghini,48,4/6/2024,4/6/2024
13,Ferrari,48,4/6/2024,4/6/2024
14,Maserati,48,4/6/2024,4/6/2024
15,Alfa Romeo,48,4/6/2024,4/6/2024
16,Fiat,48,4/6/2024,4/6/2024
17,Lancia,48,4/6/2024,4/6/2024
18,Pagani,48,4/6/2024,4/6/2024
19,Bugatti,45,4/6/2024,4/6/2024
20,Renault,45,4/6/2024,4/6/2024
21,Peugeot,45,4/6/2024,4/6/2024
22,Citroën,45,4/6/2024,4/6/2024
23,DS Automobiles,45,4/6/2024,4/6/2024
24,Dacia,232,4/6/2024,4/6/2024
25,Volkswagen,61,4/6/2024,4/6/2024
26,BMW,61,4/6/2024,4/6/2024
27,Mercedes-Benz,61,4/6/2024,4/6/2024
28,Audi,61,4/6/2024,4/6/2024
29,Porsche,61,4/6/2024,4/6/2024
30,Opel,61,4/6/2024,4/6/2024
31,Ford,51,4/6/2024,4/6/2024
32,Chevrolet,51,4/6/2024,4/6/2024
33,Dodge,51,4/6/2024,4/6/2024
34,Jeep,51,4/6/2024,4/6/2024
35,Tesla,51,4/6/2024,4/6/2024
36,Cadillac,51,4/6/2024,4/6/2024
37,GMC,51,4/6/2024,4/6/2024
38,Ram,51,4/6/2024,4/6/2024
39,Buick,51,4/6/2024,4/6/2024
40,Lincoln,51,4/6/2024,4/6/2024
41,Chrysler,51,4/6/2024,4/6/2024
42,Bentley,54,4/6/2024,4/6/2024
43,Rolls-Royce,54,4/6/2024,4/6/2024
44,Jaguar,54,4/6/2024,4/6/2024
45,Land Rover,54,4/6/2024,4/6/2024
46,Mini,54,4/6/2024,4/6/2024
47,Aston Martin,54,4/6/2024,4/6/2024
48,Lotus,54,4/6/2024,4/6/2024
49,McLaren,54,4/6/2024,4/6/2024
50,Volvo,132,4/6/2024,4/6/2024
51,Koenigsegg,132,4/6/2024,4/6/2024
52,Saab,132,4/6/2024,4/6/2024
53,Geely,44,4/6/2024,4/6/2024
54,BYD,44,4/6/2024,4/6/2024
55,Chery,44,4/6/2024,4/6/2024
56,Great Wall,44,4/6/2024,4/6/2024
57,Haval,44,4/6/2024,4/6/2024
58,Dongfeng,44,4/6/2024,4/6/2024
59,Zotye,44,4/6/2024,4/6/2024
60,BAIC,44,4/6/2024,4/6/2024
61,FAW,44,4/6/2024,4/6/2024
62,SAIC,44,4/6/2024,4/6/2024
63,JAC,44,4/6/2024,4/6/2024
64,Landwind,44,4/6/2024,4/6/2024
