Id,Name,CreateDate,UpdateDate
1,SUV,04/06/2024,04/06/2024
2,Sedan,04/06/2024,04/06/2024
3,Convertible,04/06/2024,04/06/2024
4,Coupe,04/06/2024,04/06/2024
5,Wagon,04/06/2024,04/06/2024
6,Hatchback,04/06/2024,04/06/2024
7,Crew Cab,04/06/2024,04/06/2024
8,G Coupe,04/06/2024,04/06/2024
9,G Sedan,04/06/2024,04/06/2024
10,Elantra Coupe,04/06/2024,04/06/2024
11,Genesis Coupe,04/06/2024,04/06/2024
12,Minivan,04/06/2024,04/06/2024
13,,04/06/2024,04/06/2024
14,Van,04/06/2024,04/06/2024
15,Double Cab,04/06/2024,04/06/2024
16,CrewMax Cab,04/06/2024,04/06/2024
17,Access Cab,04/06/2024,04/06/2024
18,King Cab,04/06/2024,04/06/2024
19,SuperCrew,04/06/2024,04/06/2024
20,CTS Coupe,04/06/2024,04/06/2024
21,Extended Cab,04/06/2024,04/06/2024
22,E-Series Van,04/06/2024,04/06/2024
23,SuperCab,04/06/2024,04/06/2024
24,Regular Cab,04/06/2024,04/06/2024
25,G Convertible,04/06/2024,04/06/2024
26,Koup,04/06/2024,04/06/2024
27,Quad Cab,04/06/2024,04/06/2024
28,CTS-V Coupe,04/06/2024,04/06/2024
29,sedan,04/06/2024,04/06/2024
30,G37 Convertible,04/06/2024,04/06/2024
31,Club Cab,04/06/2024,04/06/2024
32,Xtracab,04/06/2024,04/06/2024
33,Q60 Convertible,04/06/2024,04/06/2024
34,CTS Wagon,04/06/2024,04/06/2024
35,convertible,04/06/2024,04/06/2024
36,G37 Coupe,04/06/2024,04/06/2024
37,Mega Cab,04/06/2024,04/06/2024
38,Cab Plus 4,04/06/2024,04/06/2024
39,Q60 Coupe,04/06/2024,04/06/2024
40,Cab Plus,04/06/2024,04/06/2024
41,Beetle Convertible,04/06/2024,04/06/2024
42,TSX Sport Wagon,04/06/2024,04/06/2024
43,Promaster Cargo Van,04/06/2024,04/06/2024
44,GranTurismo Convertible,04/06/2024,04/06/2024
45,CTS-V Wagon,04/06/2024,04/06/2024
46,Ram Van,04/06/2024,04/06/2024
47,minivan,04/06/2024,04/06/2024
48,suv,04/06/2024,04/06/2024
49,Transit Van,04/06/2024,04/06/2024
50,Navitgation,04/06/2024,04/06/2024
51,van,04/06/2024,04/06/2024
52,regular-cab,04/06/2024,04/06/2024
53,g sedan,04/06/2024,04/06/2024
54,g coupe,04/06/2024,04/06/2024
55,hatchback,04/06/2024,04/06/2024
56,king cab,04/06/2024,04/06/2024
57,supercrew,04/06/2024,04/06/2024
58,g convertible,04/06/2024,04/06/2024
59,coupe,04/06/2024,04/06/2024
60,crew cab,04/06/2024,04/06/2024
61,wagon,04/06/2024,04/06/2024
62,double cab,04/06/2024,04/06/2024
63,e-series van,04/06/2024,04/06/2024
64,regular cab,04/06/2024,04/06/2024
65,quad cab,04/06/2024,04/06/2024
66,g37 convertible,04/06/2024,04/06/2024
67,supercab,04/06/2024,04/06/2024
68,extended cab,04/06/2024,04/06/2024
69,crewmax cab,04/06/2024,04/06/2024
70,genesis coupe,04/06/2024,04/06/2024
71,access cab,04/06/2024,04/06/2024
72,mega cab,04/06/2024,04/06/2024
73,xtracab,04/06/2024,04/06/2024
74,beetle convertible,04/06/2024,04/06/2024
75,cts coupe,04/06/2024,04/06/2024
76,koup,04/06/2024,04/06/2024
77,club cab,04/06/2024,04/06/2024
78,elantra coupe,04/06/2024,04/06/2024
79,q60 coupe,04/06/2024,04/06/2024
80,cts-v coupe,04/06/2024,04/06/2024
81,transit van,04/06/2024,04/06/2024
82,granturismo convertible,04/06/2024,04/06/2024
83,tsx sport wagon,04/06/2024,04/06/2024
84,promaster cargo van,04/06/2024,04/06/2024
85,q60 convertible,04/06/2024,04/06/2024
86,g37 coupe,04/06/2024,04/06/2024
87,cab plus 4,04/06/2024,04/06/2024
88,cts wagon,04/06/2024,04/06/2024
