Id,DealershipCarId,CustomerId,SaleDate,StatusId,ExpectedDeliveryDate,EmployeeId,PaymentMethodId,CreateDate,UpdateDate
1,1,2,5/3/2022,1,5/3/2022,10993,1,4/7/2024,4/7/2024
3,2,4,6/29/2021,1,6/29/2021,11107,1,4/7/2024,4/7/2024
5,3,6,9/17/2022,1,9/17/2022,328,1,4/7/2024,4/7/2024
7,4,8,4/1/2024,1,4/1/2024,145,1,4/7/2024,4/7/2024
9,5,10,5/23/2023,1,5/23/2023,11999,1,4/7/2024,4/7/2024
11,6,12,8/13/2022,1,8/13/2022,10972,1,4/7/2024,4/7/2024
13,7,14,1/1/2023,1,1/1/2023,2532,1,4/7/2024,4/7/2024
15,8,16,6/25/2021,1,6/25/2021,11470,1,4/7/2024,4/7/2024
17,9,18,11/9/2022,1,11/9/2022,5076,1,4/7/2024,4/7/2024
19,10,20,8/24/2022,1,8/24/2022,6990,1,4/7/2024,4/7/2024
21,11,22,5/9/2023,1,5/9/2023,2111,1,4/7/2024,4/7/2024
23,12,24,5/20/2023,1,5/20/2023,2492,1,4/7/2024,4/7/2024
25,13,26,11/26/2022,1,11/26/2022,8886,1,4/7/2024,4/7/2024
27,14,28,3/21/2022,1,3/21/2022,5345,1,4/7/2024,4/7/2024
29,15,30,1/19/2022,1,1/19/2022,12699,1,4/7/2024,4/7/2024
31,16,32,9/12/2022,1,9/12/2022,6794,1,4/7/2024,4/7/2024
33,17,34,12/4/2023,1,12/4/2023,3588,1,4/7/2024,4/7/2024
35,18,36,2/12/2023,1,2/12/2023,9155,1,4/7/2024,4/7/2024
37,19,38,8/9/2022,1,8/9/2022,6286,1,4/7/2024,4/7/2024
39,20,40,10/31/2022,1,10/31/2022,7545,1,4/7/2024,4/7/2024
41,21,42,10/19/2022,1,10/19/2022,13452,1,4/7/2024,4/7/2024
43,22,44,4/23/2022,1,4/23/2022,4336,1,4/7/2024,4/7/2024
45,23,46,5/10/2022,1,5/10/2022,5718,1,4/7/2024,4/7/2024
47,24,48,7/20/2021,1,7/20/2021,2180,1,4/7/2024,4/7/2024
49,25,50,7/16/2021,1,7/16/2021,11121,1,4/7/2024,4/7/2024
51,26,52,3/21/2023,1,3/21/2023,11693,1,4/7/2024,4/7/2024
53,27,54,10/12/2023,1,10/12/2023,12967,1,4/7/2024,4/7/2024
55,28,56,5/10/2022,1,5/10/2022,3886,1,4/7/2024,4/7/2024
57,29,58,7/23/2022,1,7/23/2022,1181,1,4/7/2024,4/7/2024
59,30,60,1/20/2024,1,1/20/2024,5657,1,4/7/2024,4/7/2024
61,31,62,5/2/2023,1,5/2/2023,11915,1,4/7/2024,4/7/2024
63,32,64,3/18/2024,1,3/18/2024,1089,1,4/7/2024,4/7/2024
65,33,66,10/2/2022,1,10/2/2022,11619,1,4/7/2024,4/7/2024
67,34,68,5/6/2021,1,5/6/2021,2620,1,4/7/2024,4/7/2024
69,35,70,2/2/2023,1,2/2/2023,12698,1,4/7/2024,4/7/2024
