Id,Name,CreateDate,UpdateDate
1,Djibouti,4/6/2024,4/6/2024
2,Eritrea,4/6/2024,4/6/2024
3,Ethiopia,4/6/2024,4/6/2024
4,Namibia,4/6/2024,4/6/2024
5,South Africa,4/6/2024,4/6/2024
6,Cameroon,4/6/2024,4/6/2024
7,Ghana,4/6/2024,4/6/2024
8,World,4/6/2024,4/6/2024
9,United Arab Emirates,4/6/2024,4/6/2024
10,Bahrain,4/6/2024,4/6/2024
11,Algeria,4/6/2024,4/6/2024
12,Egypt,4/6/2024,4/6/2024
13,Israel,4/6/2024,4/6/2024
14,Iraq,4/6/2024,4/6/2024
15,Jordan,4/6/2024,4/6/2024
16,Comoros,4/6/2024,4/6/2024
17,Kuwait,4/6/2024,4/6/2024
18,Lebanon,4/6/2024,4/6/2024
19,Libya,4/6/2024,4/6/2024
20,Morocco,4/6/2024,4/6/2024
21,Mauritania,4/6/2024,4/6/2024
22,Oman,4/6/2024,4/6/2024
23,Palestinian Authority,4/6/2024,4/6/2024
24,Qatar,4/6/2024,4/6/2024
25,Saudi Arabia,4/6/2024,4/6/2024
26,Sudan,4/6/2024,4/6/2024
27,Somalia,4/6/2024,4/6/2024
28,South Sudan,4/6/2024,4/6/2024
29,Syria,4/6/2024,4/6/2024
30,Chad,4/6/2024,4/6/2024
31,Tunisia,4/6/2024,4/6/2024
32,Yemen,4/6/2024,4/6/2024
33,Chile,4/6/2024,4/6/2024
34,India,4/6/2024,4/6/2024
35,Tanzania,4/6/2024,4/6/2024
36,Spain,4/6/2024,4/6/2024
37,Azerbaijan,4/6/2024,4/6/2024
38,Russia,4/6/2024,4/6/2024
39,Belarus,4/6/2024,4/6/2024
40,Zambia,4/6/2024,4/6/2024
41,Bulgaria,4/6/2024,4/6/2024
42,Mali,4/6/2024,4/6/2024
43,Bangladesh,4/6/2024,4/6/2024
44,China,4/6/2024,4/6/2024
45,France,4/6/2024,4/6/2024
46,Bosnia & Herzegovina,4/6/2024,4/6/2024
47,Andorra,4/6/2024,4/6/2024
48,Italy,4/6/2024,4/6/2024
49,Philippines,4/6/2024,4/6/2024
50,Uganda,4/6/2024,4/6/2024
51,United States,4/6/2024,4/6/2024
52,Iran,4/6/2024,4/6/2024
53,Czechia,4/6/2024,4/6/2024
54,United Kingdom,4/6/2024,4/6/2024
55,Denmark,4/6/2024,4/6/2024
56,Greenland,4/6/2024,4/6/2024
57,Kenya,4/6/2024,4/6/2024
58,Austria,4/6/2024,4/6/2024
59,Belgium,4/6/2024,4/6/2024
60,Switzerland,4/6/2024,4/6/2024
61,Germany,4/6/2024,4/6/2024
62,Liechtenstein,4/6/2024,4/6/2024
63,Luxembourg,4/6/2024,4/6/2024
64,Niger,4/6/2024,4/6/2024
65,Maldives,4/6/2024,4/6/2024
66,Senegal,4/6/2024,4/6/2024
67,Bhutan,4/6/2024,4/6/2024
68,Togo,4/6/2024,4/6/2024
69,Cyprus,4/6/2024,4/6/2024
70,Greece,4/6/2024,4/6/2024
71,Europe,4/6/2024,4/6/2024
72,Antigua & Barbuda,4/6/2024,4/6/2024
73,Anguilla,4/6/2024,4/6/2024
74,American Samoa,4/6/2024,4/6/2024
75,Australia,4/6/2024,4/6/2024
76,Barbados,4/6/2024,4/6/2024
77,Burundi,4/6/2024,4/6/2024
78,Bermuda,4/6/2024,4/6/2024
79,Bahamas,4/6/2024,4/6/2024
80,Botswana,4/6/2024,4/6/2024
81,Belize,4/6/2024,4/6/2024
82,Canada,4/6/2024,4/6/2024
83,Cocos (Keeling) Islands,4/6/2024,4/6/2024
84,Cook Islands,4/6/2024,4/6/2024
85,Christmas Island,4/6/2024,4/6/2024
86,Dominica,4/6/2024,4/6/2024
87,Finland,4/6/2024,4/6/2024
88,Fiji,4/6/2024,4/6/2024
89,Falkland Islands,4/6/2024,4/6/2024
90,Micronesia,4/6/2024,4/6/2024
91,Grenada,4/6/2024,4/6/2024
92,Guernsey,4/6/2024,4/6/2024
93,Gibraltar,4/6/2024,4/6/2024
94,Gambia,4/6/2024,4/6/2024
95,Guam,4/6/2024,4/6/2024
96,Guyana,4/6/2024,4/6/2024
97,Hong Kong SAR,4/6/2024,4/6/2024
98,Ireland,4/6/2024,4/6/2024
99,Isle of Man,4/6/2024,4/6/2024
100,British Indian Ocean Territory,4/6/2024,4/6/2024
101,Jersey,4/6/2024,4/6/2024
102,Jamaica,4/6/2024,4/6/2024
103,Kiribati,4/6/2024,4/6/2024
104,St. Kitts & Nevis,4/6/2024,4/6/2024
105,Cayman Islands,4/6/2024,4/6/2024
106,St. Lucia,4/6/2024,4/6/2024
107,Liberia,4/6/2024,4/6/2024
108,Lesotho,4/6/2024,4/6/2024
109,Madagascar,4/6/2024,4/6/2024
110,Marshall Islands,4/6/2024,4/6/2024
111,Macao SAR,4/6/2024,4/6/2024
112,Northern Mariana Islands,4/6/2024,4/6/2024
113,Montserrat,4/6/2024,4/6/2024
114,Malta,4/6/2024,4/6/2024
115,Mauritius,4/6/2024,4/6/2024
116,Malawi,4/6/2024,4/6/2024
117,Malaysia,4/6/2024,4/6/2024
118,Norfolk Island,4/6/2024,4/6/2024
119,Nigeria,4/6/2024,4/6/2024
120,Netherlands,4/6/2024,4/6/2024
121,Nauru,4/6/2024,4/6/2024
122,Niue,4/6/2024,4/6/2024
123,New Zealand,4/6/2024,4/6/2024
124,Papua New Guinea,4/6/2024,4/6/2024
125,Pakistan,4/6/2024,4/6/2024
126,Pitcairn Islands,4/6/2024,4/6/2024
127,Puerto Rico,4/6/2024,4/6/2024
128,Palau,4/6/2024,4/6/2024
129,Rwanda,4/6/2024,4/6/2024
130,Solomon Islands,4/6/2024,4/6/2024
131,Seychelles,4/6/2024,4/6/2024
132,Sweden,4/6/2024,4/6/2024
133,Singapore,4/6/2024,4/6/2024
134,St Helena,4/6/2024,4/6/2024
135,Slovenia,4/6/2024,4/6/2024
136,Sierra Leone,4/6/2024,4/6/2024
137,Sint Maarten,4/6/2024,4/6/2024
138,Eswatini,4/6/2024,4/6/2024
139,Turks & Caicos Islands,4/6/2024,4/6/2024
140,Tokelau,4/6/2024,4/6/2024
141,Tonga,4/6/2024,4/6/2024
142,Trinidad & Tobago,4/6/2024,4/6/2024
143,Tuvalu,4/6/2024,4/6/2024
144,U.S. Outlying Islands,4/6/2024,4/6/2024
145,St. Vincent & Grenadines,4/6/2024,4/6/2024
146,British Virgin Islands,4/6/2024,4/6/2024
147,U.S. Virgin Islands,4/6/2024,4/6/2024
148,Vanuatu,4/6/2024,4/6/2024
149,Samoa,4/6/2024,4/6/2024
150,Zimbabwe,4/6/2024,4/6/2024
151,Latin America,4/6/2024,4/6/2024
152,Argentina,4/6/2024,4/6/2024
153,Bolivia,4/6/2024,4/6/2024
154,Brazil,4/6/2024,4/6/2024
155,Colombia,4/6/2024,4/6/2024
156,Costa Rica,4/6/2024,4/6/2024
157,Cuba,4/6/2024,4/6/2024
158,Dominican Republic,4/6/2024,4/6/2024
159,Ecuador,4/6/2024,4/6/2024
160,Equatorial Guinea,4/6/2024,4/6/2024
161,Guatemala,4/6/2024,4/6/2024
162,Honduras,4/6/2024,4/6/2024
163,Mexico,4/6/2024,4/6/2024
164,Nicaragua,4/6/2024,4/6/2024
165,Panama,4/6/2024,4/6/2024
166,Peru,4/6/2024,4/6/2024
167,Paraguay,4/6/2024,4/6/2024
168,El Salvador,4/6/2024,4/6/2024
169,Uruguay,4/6/2024,4/6/2024
170,Venezuela,4/6/2024,4/6/2024
171,Estonia,4/6/2024,4/6/2024
172,Afghanistan,4/6/2024,4/6/2024
173,Burkina Faso,4/6/2024,4/6/2024
174,Guinea,4/6/2024,4/6/2024
175,Guinea-Bissau,4/6/2024,4/6/2024
176,Faroe Islands,4/6/2024,4/6/2024
177,Benin,4/6/2024,4/6/2024
178,St. Barthélemy,4/6/2024,4/6/2024
179,Congo (DRC),4/6/2024,4/6/2024
180,Central African Republic,4/6/2024,4/6/2024
181,Congo,4/6/2024,4/6/2024
182,Côte d’Ivoire,4/6/2024,4/6/2024
183,Gabon,4/6/2024,4/6/2024
184,French Guiana,4/6/2024,4/6/2024
185,Guadeloupe,4/6/2024,4/6/2024
186,Haiti,4/6/2024,4/6/2024
187,Monaco,4/6/2024,4/6/2024
188,St. Martin,4/6/2024,4/6/2024
189,Martinique,4/6/2024,4/6/2024
190,New Caledonia,4/6/2024,4/6/2024
191,French Polynesia,4/6/2024,4/6/2024
192,St. Pierre & Miquelon,4/6/2024,4/6/2024
193,Réunion,4/6/2024,4/6/2024
194,Wallis & Futuna,4/6/2024,4/6/2024
195,Mayotte,4/6/2024,4/6/2024
196,Croatia,4/6/2024,4/6/2024
197,Hungary,4/6/2024,4/6/2024
198,Armenia,4/6/2024,4/6/2024
199,Indonesia,4/6/2024,4/6/2024
200,Iceland,4/6/2024,4/6/2024
201,San Marino,4/6/2024,4/6/2024
202,Vatican City,4/6/2024,4/6/2024
203,Japan,4/6/2024,4/6/2024
204,Georgia,4/6/2024,4/6/2024
205,Cabo Verde,4/6/2024,4/6/2024
206,Kazakhstan,4/6/2024,4/6/2024
207,Cambodia,4/6/2024,4/6/2024
208,North Korea,4/6/2024,4/6/2024
209,Korea,4/6/2024,4/6/2024
210,Kyrgyzstan,4/6/2024,4/6/2024
211,Angola,4/6/2024,4/6/2024
212,Laos,4/6/2024,4/6/2024
213,Lithuania,4/6/2024,4/6/2024
214,Latvia,4/6/2024,4/6/2024
215,Mozambique,4/6/2024,4/6/2024
216,North Macedonia,4/6/2024,4/6/2024
