Id,CarId,DealershipId,CarsCount,CarStatusId,CreateDate,UpdateDate
1,1,10993,1,2,4/7/2024,4/7/2024
2,2,11107,1,2,4/7/2024,4/7/2024
3,3,328,1,2,4/7/2024,4/7/2024
4,4,145,1,2,4/7/2024,4/7/2024
5,5,11999,1,2,4/7/2024,4/7/2024
6,6,10972,1,2,4/7/2024,4/7/2024
7,7,2532,1,2,4/7/2024,4/7/2024
8,8,11470,1,2,4/7/2024,4/7/2024
9,9,5076,1,2,4/7/2024,4/7/2024
10,10,6990,1,2,4/7/2024,4/7/2024
11,11,2111,1,2,4/7/2024,4/7/2024
12,12,2492,1,2,4/7/2024,4/7/2024
13,13,8886,1,2,4/7/2024,4/7/2024
14,14,5345,1,2,4/7/2024,4/7/2024
15,15,12699,1,2,4/7/2024,4/7/2024
16,16,6794,1,2,4/7/2024,4/7/2024
17,17,3588,1,2,4/7/2024,4/7/2024
18,18,9155,1,2,4/7/2024,4/7/2024
19,19,6286,1,2,4/7/2024,4/7/2024
20,20,7545,1,2,4/7/2024,4/7/2024
21,21,13452,1,2,4/7/2024,4/7/2024
22,22,4336,1,2,4/7/2024,4/7/2024
23,23,5718,1,2,4/7/2024,4/7/2024
24,24,2180,1,2,4/7/2024,4/7/2024
25,25,11121,1,2,4/7/2024,4/7/2024
26,26,11693,1,2,4/7/2024,4/7/2024
27,27,12967,1,2,4/7/2024,4/7/2024
28,28,3886,1,2,4/7/2024,4/7/2024
29,29,1181,1,2,4/7/2024,4/7/2024
30,30,5657,1,2,4/7/2024,4/7/2024
31,31,11915,1,2,4/7/2024,4/7/2024
32,32,1089,1,2,4/7/2024,4/7/2024
33,33,11619,1,2,4/7/2024,4/7/2024
34,34,2620,1,2,4/7/2024,4/7/2024
35,35,12698,1,2,4/7/2024,4/7/2024
36,36,10942,1,2,4/7/2024,4/7/2024
37,37,7823,1,2,4/7/2024,4/7/2024
38,38,2590,1,2,4/7/2024,4/7/2024
39,39,7582,1,2,4/7/2024,4/7/2024
40,40,4466,1,2,4/7/2024,4/7/2024
41,41,3304,1,2,4/7/2024,4/7/2024
42,42,11396,1,2,4/7/2024,4/7/2024
43,43,2138,1,2,4/7/2024,4/7/2024
44,44,13484,1,2,4/7/2024,4/7/2024
45,45,2257,1,2,4/7/2024,4/7/2024
46,46,2579,1,2,4/7/2024,4/7/2024
47,47,6663,1,2,4/7/2024,4/7/2024
48,48,3098,1,2,4/7/2024,4/7/2024
49,49,11355,1,2,4/7/2024,4/7/2024
50,50,5647,1,2,4/7/2024,4/7/2024
51,51,3593,1,2,4/7/2024,4/7/2024
52,52,4803,1,2,4/7/2024,4/7/2024
53,53,55,1,2,4/7/2024,4/7/2024
54,54,12723,1,2,4/7/2024,4/7/2024
55,55,11044,1,2,4/7/2024,4/7/2024
56,56,12459,1,2,4/7/2024,4/7/2024
57,57,776,1,2,4/7/2024,4/7/2024
58,58,8109,1,2,4/7/2024,4/7/2024
59,59,10761,1,2,4/7/2024,4/7/2024
60,60,9169,1,2,4/7/2024,4/7/2024
61,61,7684,1,2,4/7/2024,4/7/2024
62,62,5798,1,2,4/7/2024,4/7/2024
63,63,10253,1,2,4/7/2024,4/7/2024
64,64,5033,1,2,4/7/2024,4/7/2024
65,65,3705,1,2,4/7/2024,4/7/2024
66,66,815,1,2,4/7/2024,4/7/2024
67,67,516,1,2,4/7/2024,4/7/2024
68,68,11794,1,2,4/7/2024,4/7/2024
69,69,6721,1,2,4/7/2024,4/7/2024
