Id,LeaseProposalId,ConditionId,Value,CreateDate,UpdateDate
1,1,6,0,3/11/2024,3/29/2024
2,1,5,0,3/19/2024,4/3/2024
3,1,2,1,4/2/2024,4/4/2024
4,2,4,0,3/17/2024,3/29/2024
5,2,3,0,3/15/2024,4/1/2024
6,2,4,0,3/12/2024,4/2/2024
7,3,2,1,3/20/2024,3/29/2024
8,3,3,0,3/9/2024,4/3/2024
9,3,3,1,3/17/2024,4/6/2024
10,4,3,1,4/1/2024,3/31/2024
11,4,1,0,3/21/2024,4/6/2024
12,4,6,1,4/6/2024,4/2/2024
13,5,5,0,4/1/2024,4/6/2024
14,5,1,0,3/28/2024,4/2/2024
15,5,1,0,3/10/2024,4/6/2024
16,6,6,1,4/1/2024,3/30/2024
17,6,1,1,3/19/2024,4/5/2024
18,6,6,1,3/18/2024,4/3/2024
19,7,2,0,4/4/2024,4/4/2024
20,7,3,0,4/3/2024,4/5/2024
21,7,3,1,3/19/2024,4/2/2024
22,8,2,1,3/29/2024,3/31/2024
23,8,4,1,3/19/2024,3/29/2024
24,8,4,1,3/25/2024,3/31/2024
25,9,3,0,3/10/2024,3/31/2024
26,9,6,0,3/28/2024,3/30/2024
27,9,4,1,3/29/2024,4/6/2024
28,10,4,1,4/3/2024,4/6/2024
29,10,5,1,3/20/2024,3/31/2024
30,10,5,0,4/5/2024,4/6/2024
31,11,4,1,3/24/2024,3/31/2024
32,11,6,0,3/28/2024,4/6/2024
33,11,4,0,3/17/2024,4/3/2024
34,12,5,1,3/15/2024,4/4/2024
35,12,3,1,3/29/2024,4/4/2024
36,12,4,1,4/5/2024,4/2/2024
37,13,1,0,3/19/2024,3/29/2024
38,13,1,0,3/25/2024,3/31/2024
39,13,6,1,3/19/2024,4/2/2024
40,14,3,1,4/6/2024,4/1/2024
41,14,6,0,3/25/2024,4/1/2024
42,14,6,1,3/16/2024,4/6/2024
43,15,6,0,4/1/2024,4/1/2024
44,15,3,0,3/16/2024,3/30/2024
45,15,6,0,3/30/2024,4/4/2024
46,16,5,0,3/25/2024,4/4/2024
47,16,5,0,3/29/2024,4/1/2024
48,16,1,0,3/28/2024,3/31/2024
49,17,4,1,3/14/2024,4/3/2024
50,17,2,1,4/3/2024,4/4/2024
51,17,1,0,3/12/2024,4/1/2024
52,18,1,0,3/13/2024,4/2/2024
53,18,6,1,3/25/2024,4/3/2024
54,18,4,0,3/28/2024,4/3/2024
55,19,5,1,3/11/2024,4/5/2024
56,19,3,0,3/10/2024,4/3/2024
57,19,2,1,3/18/2024,4/4/2024
58,20,2,1,3/12/2024,4/5/2024
59,20,6,1,3/16/2024,4/6/2024
60,20,6,0,3/22/2024,4/4/2024
61,21,2,1,3/13/2024,4/2/2024
62,21,1,0,3/27/2024,3/30/2024
63,21,1,0,4/1/2024,3/29/2024
64,22,3,0,3/22/2024,4/2/2024
65,22,2,1,3/14/2024,3/29/2024
66,22,4,0,3/22/2024,4/4/2024
67,23,5,0,3/20/2024,4/1/2024
68,23,6,0,4/1/2024,3/31/2024
69,23,1,1,3/15/2024,3/30/2024
70,24,6,1,3/17/2024,3/30/2024
71,24,5,1,4/4/2024,3/30/2024
72,24,4,0,3/9/2024,4/4/2024
73,25,3,0,4/1/2024,4/3/2024
74,25,1,1,3/14/2024,4/2/2024
75,25,2,1,3/21/2024,4/4/2024
76,26,4,1,3/23/2024,3/29/2024
77,26,5,0,4/2/2024,4/2/2024
78,26,1,0,3/28/2024,4/5/2024
79,27,2,0,3/24/2024,4/5/2024
80,27,2,1,3/9/2024,3/31/2024
81,27,4,0,3/25/2024,3/30/2024
82,28,5,0,3/21/2024,4/3/2024
83,28,5,0,3/31/2024,3/29/2024
84,28,6,1,3/10/2024,3/31/2024
85,29,5,1,4/2/2024,4/6/2024
86,29,6,1,3/30/2024,4/5/2024
87,29,4,0,3/20/2024,3/31/2024
88,30,3,1,4/3/2024,4/2/2024
89,30,4,1,3/27/2024,4/5/2024
90,30,3,1,3/27/2024,3/29/2024
91,31,5,0,3/29/2024,4/4/2024
92,31,1,0,3/15/2024,4/4/2024
93,31,1,1,3/16/2024,3/30/2024
94,32,1,1,3/20/2024,4/2/2024
95,32,5,1,3/28/2024,4/4/2024
96,32,2,0,3/31/2024,4/3/2024
97,33,4,0,3/15/2024,4/5/2024
98,33,6,1,3/29/2024,3/30/2024
99,33,4,1,3/17/2024,3/29/2024
100,34,2,0,4/2/2024,3/29/2024
101,34,3,1,3/22/2024,4/6/2024
102,34,6,1,3/26/2024,4/5/2024
103,35,5,1,3/23/2024,4/5/2024
104,35,1,0,4/3/2024,4/6/2024
105,35,2,1,3/20/2024,4/5/2024
106,36,4,1,3/18/2024,4/1/2024
107,36,1,0,3/16/2024,4/1/2024
108,36,2,1,4/6/2024,4/5/2024
109,37,5,1,3/31/2024,4/4/2024
110,37,2,0,3/23/2024,4/5/2024
111,37,1,1,3/15/2024,3/30/2024
112,38,3,1,3/18/2024,4/2/2024
113,38,3,0,3/26/2024,3/31/2024
114,38,3,1,3/19/2024,3/29/2024
115,39,4,1,3/12/2024,4/2/2024
116,39,4,0,3/27/2024,3/30/2024
117,39,1,1,3/25/2024,3/30/2024
118,40,1,0,3/28/2024,3/31/2024
119,40,2,1,3/10/2024,3/29/2024
120,40,6,1,3/25/2024,3/29/2024
121,41,5,0,3/28/2024,4/4/2024
122,41,6,0,3/18/2024,4/4/2024
123,41,4,1,3/21/2024,4/1/2024
124,42,2,0,3/18/2024,4/3/2024
125,42,5,1,3/26/2024,4/3/2024
126,42,2,0,3/11/2024,3/29/2024
127,43,2,0,3/21/2024,3/31/2024
128,43,5,1,3/21/2024,3/29/2024
129,43,3,1,3/14/2024,4/6/2024
130,44,6,1,3/30/2024,4/4/2024
131,44,3,1,3/19/2024,4/3/2024
132,44,4,0,4/1/2024,4/2/2024
133,45,5,0,3/27/2024,3/31/2024
134,45,1,1,3/30/2024,4/4/2024
135,45,3,0,3/28/2024,4/5/2024
136,46,4,0,3/18/2024,3/30/2024
137,46,1,1,3/30/2024,4/3/2024
138,46,6,0,3/28/2024,4/4/2024
139,47,4,1,4/5/2024,3/30/2024
140,47,5,1,3/25/2024,3/31/2024
141,47,1,1,3/10/2024,4/6/2024
142,48,2,0,3/26/2024,4/3/2024
143,48,1,1,3/13/2024,3/30/2024
144,48,5,0,3/14/2024,4/6/2024
145,49,5,1,4/6/2024,4/6/2024
146,49,2,1,3/21/2024,4/3/2024
147,49,3,1,4/6/2024,3/29/2024
148,50,2,0,3/22/2024,4/1/2024
149,50,1,1,4/2/2024,4/2/2024
150,50,3,0,3/30/2024,3/31/2024
151,51,5,1,4/6/2024,4/3/2024
152,51,1,1,3/15/2024,4/2/2024
153,51,2,0,3/14/2024,3/30/2024
154,52,1,1,3/16/2024,3/31/2024
155,52,6,0,3/10/2024,3/29/2024
156,52,1,1,4/4/2024,4/4/2024
157,53,2,1,3/11/2024,4/1/2024
158,53,2,1,4/5/2024,4/1/2024
159,53,5,0,3/30/2024,4/1/2024
160,54,2,0,3/23/2024,3/30/2024
161,54,5,1,3/13/2024,4/1/2024
162,54,3,0,3/12/2024,4/2/2024
163,55,6,1,3/28/2024,4/6/2024
164,55,1,0,3/31/2024,3/29/2024
165,55,3,0,3/10/2024,4/4/2024
166,56,2,1,3/13/2024,3/29/2024
167,56,1,0,3/15/2024,3/31/2024
168,56,6,1,3/18/2024,3/30/2024
169,57,1,0,3/26/2024,4/5/2024
170,57,3,0,4/3/2024,4/5/2024
171,57,3,1,3/28/2024,3/31/2024
172,58,3,0,3/29/2024,4/3/2024
173,58,1,0,3/27/2024,4/4/2024
174,58,2,0,3/25/2024,4/2/2024
175,59,6,1,3/15/2024,4/3/2024
176,59,4,0,3/22/2024,3/30/2024
177,59,2,1,3/29/2024,3/30/2024
178,60,6,0,4/5/2024,4/5/2024
179,60,2,0,3/10/2024,4/6/2024
180,60,4,0,4/2/2024,4/4/2024
181,61,3,1,3/18/2024,3/30/2024
182,61,1,1,3/21/2024,4/5/2024
183,61,4,0,3/14/2024,3/31/2024
184,62,3,0,4/1/2024,4/2/2024
185,62,3,0,3/23/2024,3/29/2024
186,62,1,1,3/20/2024,3/30/2024
187,63,1,1,3/26/2024,4/2/2024
188,63,3,0,3/31/2024,4/5/2024
189,63,4,1,3/31/2024,4/3/2024
190,64,4,1,3/20/2024,3/30/2024
191,64,1,0,3/23/2024,3/31/2024
192,64,3,0,3/22/2024,4/5/2024
193,65,4,1,3/24/2024,4/1/2024
194,65,5,1,4/6/2024,4/6/2024
195,65,2,1,3/24/2024,4/1/2024
196,66,5,1,3/28/2024,4/2/2024
197,66,4,0,3/16/2024,4/4/2024
198,66,6,1,3/30/2024,4/6/2024
199,67,5,0,3/25/2024,4/4/2024
200,67,2,1,3/22/2024,4/5/2024
201,67,3,1,4/2/2024,4/4/2024
202,68,4,1,3/24/2024,3/31/2024
203,68,6,0,3/23/2024,4/2/2024
204,68,4,1,3/17/2024,3/29/2024
205,69,6,0,3/10/2024,4/6/2024
206,69,4,0,3/17/2024,3/29/2024
207,69,5,0,3/10/2024,4/3/2024
208,70,1,0,3/20/2024,4/1/2024
209,70,1,0,3/9/2024,4/3/2024
210,70,4,0,3/29/2024,4/4/2024
211,71,3,1,4/4/2024,4/6/2024
212,71,6,0,4/6/2024,4/4/2024
213,71,6,0,3/26/2024,3/30/2024
214,72,5,1,4/1/2024,4/2/2024
215,72,3,0,3/10/2024,3/29/2024
216,72,1,1,3/18/2024,4/2/2024
217,73,3,0,3/22/2024,3/29/2024
218,73,5,1,3/14/2024,3/31/2024
219,73,5,1,3/24/2024,3/30/2024
220,74,1,0,3/11/2024,4/6/2024
221,74,2,0,3/9/2024,4/5/2024
222,74,6,0,3/9/2024,4/4/2024
223,75,6,1,3/12/2024,3/29/2024
224,75,5,0,3/27/2024,4/1/2024
225,75,6,1,3/9/2024,4/6/2024
226,76,1,1,3/13/2024,4/2/2024
227,76,6,1,3/31/2024,4/1/2024
228,76,1,1,3/25/2024,4/5/2024
229,77,1,1,4/2/2024,3/31/2024
230,77,1,1,3/16/2024,4/4/2024
231,77,2,1,3/18/2024,3/29/2024
232,78,6,0,3/28/2024,4/3/2024
233,78,3,0,3/15/2024,4/5/2024
234,78,5,1,4/6/2024,4/3/2024
235,79,5,1,3/9/2024,4/6/2024
236,79,4,1,4/2/2024,4/5/2024
237,79,4,0,3/24/2024,4/3/2024
238,80,6,0,3/15/2024,3/31/2024
239,80,3,0,3/23/2024,4/1/2024
240,80,1,1,4/4/2024,4/6/2024
241,81,4,1,3/9/2024,4/4/2024
242,81,3,1,3/18/2024,4/1/2024
243,81,1,0,3/10/2024,4/3/2024
244,82,1,0,3/31/2024,4/6/2024
245,82,2,0,4/5/2024,4/5/2024
246,82,5,0,3/18/2024,3/30/2024
247,83,3,0,3/14/2024,4/6/2024
248,83,2,0,3/19/2024,3/30/2024
249,83,5,1,3/25/2024,4/3/2024
250,84,2,1,3/18/2024,3/29/2024
251,84,6,1,3/30/2024,3/31/2024
252,84,6,1,3/29/2024,3/31/2024
253,85,2,1,3/27/2024,3/31/2024
254,85,5,1,3/10/2024,4/3/2024
255,85,6,1,3/9/2024,4/1/2024
256,86,2,0,3/26/2024,3/31/2024
257,86,6,0,3/24/2024,4/5/2024
258,86,3,0,3/11/2024,3/31/2024
259,87,6,1,3/30/2024,4/3/2024
260,87,1,1,3/12/2024,4/6/2024
261,87,5,1,3/21/2024,3/31/2024
262,88,2,1,3/28/2024,4/3/2024
263,88,4,1,3/29/2024,3/30/2024
264,88,5,1,3/9/2024,4/5/2024
265,89,1,0,3/21/2024,4/2/2024
266,89,5,1,3/29/2024,3/30/2024
267,89,4,0,3/17/2024,4/4/2024
268,90,3,0,3/22/2024,4/5/2024
269,90,2,0,4/4/2024,3/29/2024
270,90,6,0,3/15/2024,3/30/2024
271,91,6,1,3/17/2024,3/31/2024
272,91,1,0,3/26/2024,4/3/2024
273,91,6,0,3/18/2024,4/2/2024
274,92,4,1,3/20/2024,4/2/2024
275,92,2,0,3/9/2024,4/4/2024
276,92,3,1,3/13/2024,3/30/2024
277,93,5,1,3/16/2024,4/1/2024
278,93,1,1,3/19/2024,4/3/2024
279,93,6,0,3/14/2024,4/5/2024
280,94,4,1,3/17/2024,4/6/2024
281,94,4,0,3/27/2024,4/4/2024
282,94,6,0,3/14/2024,4/3/2024
283,95,4,1,4/2/2024,3/31/2024
284,95,5,0,3/23/2024,4/3/2024
285,95,3,1,3/11/2024,3/30/2024
286,96,2,0,3/13/2024,3/30/2024
287,96,4,1,3/19/2024,4/2/2024
288,96,6,1,4/6/2024,4/5/2024
289,97,1,0,3/29/2024,4/2/2024
290,97,6,0,3/11/2024,3/30/2024
291,97,1,1,3/13/2024,4/3/2024
292,98,1,0,3/9/2024,4/5/2024
293,98,5,0,3/27/2024,4/1/2024
294,98,5,0,3/19/2024,3/29/2024
295,99,4,0,3/23/2024,4/5/2024
296,99,1,1,3/28/2024,4/3/2024
297,99,3,1,4/1/2024,4/1/2024
298,100,4,1,4/4/2024,4/4/2024
299,100,5,1,3/21/2024,4/2/2024
300,100,1,1,3/12/2024,4/1/2024
301,101,4,0,4/5/2024,4/5/2024
302,101,1,0,4/2/2024,4/6/2024
303,101,6,0,3/25/2024,4/1/2024
304,102,3,1,3/30/2024,3/29/2024
305,102,3,1,3/25/2024,4/2/2024
306,102,5,1,3/26/2024,4/4/2024
307,103,5,0,3/22/2024,4/4/2024
308,103,4,0,4/3/2024,3/31/2024
309,103,4,0,3/25/2024,4/4/2024
310,104,4,0,3/9/2024,3/30/2024
311,104,5,1,3/25/2024,4/2/2024
312,104,6,0,3/12/2024,4/6/2024
313,105,1,1,3/28/2024,3/30/2024
314,105,6,1,3/12/2024,4/4/2024
315,105,5,0,4/2/2024,4/4/2024
316,106,3,1,3/23/2024,4/5/2024
317,106,5,0,3/11/2024,3/31/2024
318,106,2,0,3/30/2024,4/2/2024
319,107,3,0,3/27/2024,3/30/2024
320,107,6,1,4/4/2024,4/5/2024
321,107,6,1,3/26/2024,4/4/2024
322,108,4,1,4/3/2024,3/30/2024
323,108,6,1,3/15/2024,4/3/2024
324,108,2,0,3/18/2024,4/4/2024
325,109,1,0,3/23/2024,4/4/2024
326,109,1,1,3/21/2024,4/5/2024
327,109,4,0,3/24/2024,3/31/2024
328,110,3,1,4/1/2024,4/2/2024
329,110,4,1,3/14/2024,4/3/2024
330,110,3,1,3/24/2024,3/29/2024
331,111,5,1,3/11/2024,3/31/2024
332,111,2,0,3/31/2024,4/3/2024
333,111,3,1,3/26/2024,4/5/2024
334,112,3,0,3/29/2024,4/2/2024
335,112,4,0,3/12/2024,4/5/2024
336,112,2,1,3/21/2024,4/3/2024
337,113,6,0,3/25/2024,4/2/2024
338,113,6,0,3/13/2024,4/5/2024
339,113,4,0,3/13/2024,3/31/2024
340,114,1,0,4/3/2024,4/6/2024
341,114,2,1,3/15/2024,3/29/2024
342,114,1,0,3/30/2024,4/1/2024
343,115,3,0,3/16/2024,4/6/2024
344,115,5,1,3/12/2024,4/5/2024
345,115,3,1,3/9/2024,3/31/2024
346,116,3,1,4/6/2024,3/30/2024
347,116,1,0,3/28/2024,4/5/2024
348,116,6,1,3/24/2024,4/4/2024
349,117,1,1,3/30/2024,4/4/2024
350,117,3,1,4/2/2024,4/5/2024
351,117,5,0,4/2/2024,4/4/2024
352,118,5,0,3/29/2024,4/5/2024
353,118,1,1,3/11/2024,3/29/2024
354,118,1,0,3/25/2024,3/30/2024
355,119,3,0,3/27/2024,4/5/2024
356,119,1,0,4/6/2024,4/6/2024
357,119,2,0,3/19/2024,4/2/2024
358,120,1,0,3/23/2024,3/29/2024
359,120,1,1,3/18/2024,4/5/2024
360,120,6,0,3/21/2024,4/4/2024
361,121,4,1,3/28/2024,4/4/2024
362,121,5,1,4/5/2024,3/29/2024
363,121,3,1,3/24/2024,4/1/2024
364,122,4,0,3/14/2024,4/6/2024
365,122,6,0,3/21/2024,4/5/2024
366,122,6,1,4/5/2024,3/30/2024
367,123,4,1,4/2/2024,3/31/2024
368,123,3,1,3/18/2024,4/3/2024
369,123,1,1,4/1/2024,4/3/2024
370,124,6,1,4/5/2024,4/1/2024
371,124,6,1,3/10/2024,4/2/2024
372,124,4,0,3/19/2024,4/1/2024
373,125,6,0,3/26/2024,4/6/2024
374,125,6,1,3/11/2024,4/4/2024
375,125,6,0,3/18/2024,3/31/2024
376,126,2,0,3/24/2024,4/1/2024
377,126,4,0,3/14/2024,3/29/2024
378,126,4,0,3/27/2024,4/4/2024
379,127,1,1,4/5/2024,4/1/2024
380,127,5,1,4/5/2024,4/5/2024
381,127,6,0,3/25/2024,4/4/2024
382,128,4,0,4/4/2024,3/29/2024
383,128,1,1,3/10/2024,4/2/2024
384,128,2,0,3/20/2024,3/29/2024
385,129,1,0,4/5/2024,4/2/2024
386,129,5,1,3/25/2024,4/5/2024
387,129,5,1,3/19/2024,3/31/2024
388,130,1,0,3/30/2024,3/31/2024
389,130,2,1,3/20/2024,3/29/2024
390,130,3,1,3/24/2024,3/31/2024
391,131,3,1,4/1/2024,3/31/2024
392,131,3,0,3/10/2024,4/6/2024
393,131,1,1,3/24/2024,4/3/2024
394,132,3,0,3/16/2024,4/1/2024
395,132,3,1,3/12/2024,3/29/2024
396,132,3,0,3/31/2024,3/30/2024
397,133,5,1,4/6/2024,3/31/2024
398,133,5,0,3/13/2024,4/6/2024
399,133,2,1,3/24/2024,4/4/2024
400,134,5,1,3/29/2024,4/1/2024
401,134,4,0,3/18/2024,4/5/2024
402,134,6,1,3/30/2024,4/1/2024
403,135,6,1,4/2/2024,4/5/2024
404,135,3,1,4/2/2024,4/3/2024
