Id,EmployeeId,ProposalId,CustomerId,DealershipCarId,LeaseSignDate,LeaseStartDate,LeaseEndDate,LeaseUniqueNumber,TotalPrice,Description,CreateDate,UpdateDate
1,7,10,24368,5817,12/29/2023,1/20/2024,1/18/2025,1,42955.46,Empty Description ,8/23/2023,8/23/2023
2,3,2,557,5025,6/21/2021,7/5/2021,4/16/2022,2,29107.13,Empty Description ,7/18/2023,7/18/2023
3,9,1,23260,9952,1/20/2024,1/29/2024,9/19/2024,3,11963.75,Empty Description ,6/20/2023,6/20/2023
4,9,7,11919,8551,12/5/2023,12/16/2023,11/7/2024,4,12453.73,Empty Description ,2/12/2024,2/12/2024
5,10,10,24245,7961,11/28/2021,12/3/2021,6/29/2022,5,38122.23,Empty Description ,9/4/2023,9/4/2023
6,3,7,608,8433,12/3/2021,12/22/2021,5/22/2022,6,21708.05,Empty Description ,6/10/2021,6/10/2021
7,2,1,325,2225,9/1/2021,9/26/2021,6/30/2022,7,25815.75,Empty Description ,9/29/2023,9/29/2023
8,9,4,20407,25,7/28/2023,7/30/2023,4/4/2024,8,9471.7,Empty Description ,6/14/2022,6/14/2022
9,4,5,24838,4827,5/3/2022,6/1/2022,9/26/2022,9,45448.22,Empty Description ,8/31/2021,8/31/2021
10,6,9,18951,4203,9/12/2022,9/18/2022,9/11/2023,10,8844.06,Empty Description ,5/17/2022,5/17/2022
11,3,6,17472,2399,7/10/2023,7/17/2023,12/23/2023,11,20240.63,Empty Description ,2/21/2022,2/21/2022
12,7,1,10421,173,12/2/2022,12/10/2022,3/13/2023,12,11361.14,Empty Description ,4/30/2022,4/30/2022
13,3,9,28220,3707,10/21/2021,10/27/2021,8/10/2022,13,21078.57,Empty Description ,12/14/2021,12/14/2021
14,4,6,28110,9749,1/11/2024,2/2/2024,11/28/2024,14,44328.58,Empty Description ,10/5/2022,10/5/2022
15,9,2,7747,5949,11/3/2023,11/26/2023,6/15/2024,15,29197.49,Empty Description ,1/20/2022,1/20/2022
16,1,2,26314,9166,8/7/2021,9/5/2021,2/5/2022,16,12715.41,Empty Description ,12/1/2022,12/1/2022
17,4,10,13015,8667,2/17/2022,2/22/2022,6/4/2022,17,18993.74,Empty Description ,3/4/2023,3/4/2023
18,6,3,12365,8539,9/11/2021,10/4/2021,8/17/2022,18,22844.54,Empty Description ,1/28/2024,1/28/2024
19,10,4,12856,4710,8/19/2023,9/4/2023,12/31/2023,19,24913.03,Empty Description ,1/10/2023,1/10/2023
20,6,3,28427,483,11/6/2021,11/11/2021,7/6/2022,20,26684.49,Empty Description ,4/1/2022,4/1/2022
21,5,5,294,9404,12/30/2023,1/26/2024,8/26/2024,21,7042.09,Empty Description ,6/8/2021,6/8/2021
22,6,9,7696,719,7/30/2022,8/12/2022,12/22/2022,22,21652.92,Empty Description ,8/17/2022,8/17/2022
23,5,1,11025,7375,8/28/2022,9/7/2022,1/11/2023,23,11375.52,Empty Description ,2/18/2023,2/18/2023
24,2,7,34,7786,10/23/2023,10/24/2023,9/21/2024,24,1161.45,Empty Description ,12/28/2021,12/28/2021
25,6,2,22979,1464,8/2/2022,8/18/2022,1/30/2023,25,2321.35,Empty Description ,8/30/2021,8/30/2021
26,9,9,10394,1230,1/16/2022,1/29/2022,5/26/2022,26,11179.05,Empty Description ,9/27/2023,9/27/2023
27,3,6,22883,7839,8/13/2023,9/10/2023,8/1/2024,27,40629.92,Empty Description ,2/10/2023,2/10/2023
28,8,7,8111,4563,2/22/2023,3/16/2023,10/1/2023,28,30862.29,Empty Description ,6/8/2021,6/8/2021
29,5,8,27035,887,10/23/2023,11/7/2023,11/3/2024,29,16281.13,Empty Description ,11/5/2023,11/5/2023
30,7,7,15601,5997,8/12/2022,8/21/2022,5/22/2023,30,48941.74,Empty Description ,9/21/2023,9/21/2023
31,7,7,3424,1250,8/17/2021,8/29/2021,7/3/2022,31,4402.81,Empty Description ,1/13/2023,1/13/2023
